CID,Formula,SMILES,MW,HBA,HBD,TPSA,Heavy_Atoms,Complexity,Energy_AB,Energy_8H,Energy_min,Energy_avg,Energy_diff,split
21526826,HKO2,O[O-].[K+],72.105,2,1,43.3,3,2.8,-2.5034810673,-2.5032763858,-2.5034810673,-2.5033787265500003,0.0002046815,train
101558437,CH2NNaO,C(=N)[O-].[Na+],67.023,2,1,46.9,4,15.5,-2.8375691583000004,-2.8375851954,-2.8375851954,-2.83757717685,1.6037099999532956e-05,train
140553376,CH2NNaO,C(=O)[NH-].[Na+],67.023,2,1,18.1,4,15.5,-2.8376412438,-2.8378567113,-2.8378567113,-2.83774897755,0.0002154675000003,test
123308,BLiO2,[Li+].B(=O)[O-],49.8,2,0,40.1,4,13.5,-2.6670770204000003,-2.6668185211,-2.6670770204000003,-2.66694777075,0.0002584993000001,train
129737715,C2H2ILi,[Li+].C=[C-]I,159.9,1,0,0.0,4,13.5,-2.7051542385,-2.7033302762,-2.7051542385,-2.70424225735,0.0018239623,train
23697866,Br2ClNa,[Na+].[Cl-](Br)Br,218.25,1,0,0.0,4,6.0,-2.342713589,-2.3366783204,-2.342713589,-2.3396959547,0.0060352686000002,train
20744931,C2H3LiO,[Li+].[CH2-]C=O,50.0,2,0,17.1,4,13.5,-2.9112872141,-2.9100065051,-2.9112872141,-2.9106468596,0.0012807089999999,train
20745101,C2H4FLi,[Li+].C[CH-]F,54.0,2,0,0.0,4,6.0,-2.9065006913,-2.9054952281,-2.9065006913,-2.9059979597,0.0010054632000002,train
161759608,HLiN2,[Li+].N=[N-],36.0,2,1,24.9,3,2.8,-2.5792195985,-2.5805538314,-2.5805538314,-2.57988671495,0.0013342329000001,train
57823227,C2H3K,[CH2-][CH].[K+],66.14,1,0,0.0,3,2.8,-2.750192084,-2.7481250125,-2.750192084,-2.74915854825,0.0020670714999999,train
129657746,C2H4LiN,[Li+].C1[CH-]N1,49.0,2,1,21.9,4,15.5,-2.9678048660000003,-2.968361179,-2.968361179,-2.9680830225,0.0005563129999996,test
23686678,Br2ClRb,Cl[Br-]Br.[Rb+],280.73,1,0,0.0,4,6.0,-2.342958856,-2.3430704726,-2.3430704726,-2.3430146643,0.0001116165999999,test
12607731,C2ClLi,[Li+].[C-]#CCl,66.4,1,0,0.0,4,32.5,-2.5514425689,-2.5563571632,-2.5563571632,-2.55389986605,0.0049145942999997,val
10986147,C3H5Li,[Li+].[CH2-]C=C,48.0,1,0,0.0,4,10.8,-3.08493475,-3.085358359,-3.085358359,-3.0851465545,0.0004236089999998,train
129657214,CH2LiN,[Li+].[CH-]=N,35.0,2,1,23.9,3,4.8,-2.6535766368,-2.65479758,-2.65479758,-2.6541871083999995,0.0012209432000003,val
59780101,BIK,[B-]I.[K+],176.82,1,0,0.0,3,4.8,-2.3061369307,-2.3084109181,-2.3084109181,-2.3072739244,0.0022739873999997,val
22960788,CH3NaO2,CO[O-].[Na+],70.023,2,0,32.3,4,6.0,-2.8260873073,-2.8230997957,-2.8260873073,-2.8245935515,0.0029875115999997,train
102216787,CHLiO2,[Li+].C(=O)[O-],52.033,2,0,40.1,4,13.5,-2.7463369870000003,-2.7454280568,-2.7463369870000003,-2.7458825219000005,0.0009089302,train
139260950,BH2NNa,[B-]N.[Na+],49.83,2,1,26.0,3,4.8,-2.6145029091,-2.6171113647,-2.6171113647,-2.6158071369,0.0026084556000003,train
129708031,BrKO2,[O-]Br=O.[K+],151.0,2,0,40.1,4,13.5,-2.4336532303,-2.4419044089,-2.4419044089,-2.4377788196,0.0082511785999996,train
20829530,CH3I2K,C[I-]I.[K+],307.942,1,0,0.0,4,6.0,-2.6690183328,-2.6685709189,-2.6690183328,-2.66879462585,0.0004474138999999,train
23670957,CH2ClKO,C([O-])Cl.[K+],104.58,1,0,23.1,4,8.0,-2.7215319311000004,-2.7237574181000004,-2.7237574181000004,-2.7226446746000006,0.002225487,train
161103746,BHNNa,[BH-]#N.[Na+],48.82,2,0,23.8,3,12.8,-2.5646984249,-2.5649222474,-2.5649222474,-2.56481033615,0.0002238224999997,train
58273116,ClNaO2,[O-]OCl.[Na+],90.44,2,0,32.3,4,6.0,-2.4594772321,-2.4576906773,-2.4594772321,-2.4585839547,0.0017865547999997,train
11040616,C2H2LiN,[Li+].[CH2-][N+]#[C-],47.0,2,0,4.4,4,32.5,-2.8316561189,-2.8326410431,-2.8326410431,-2.832148581,0.0009849241999999,train
58482386,CClKO,[C-](=O)Cl.[K+],102.56,2,0,17.1,4,15.5,-2.5709551157,-2.5712090911,-2.5712090911,-2.5710821034,0.0002539754000001,train
129692527,ClO2Rb,[O-]Cl=O.[Rb+],152.92,2,0,40.1,4,13.5,-2.4479718605,-2.4462367129,-2.4479718605,-2.4471042867,0.0017351475999998,train
131710163,CH3BLiN,[Li+].[BH3-]C#N,46.8,2,0,23.8,4,34.5,-2.8912375303,-2.8898613039,-2.8912375303,-2.8905494171,0.0013762263999996,train
71330138,C2H2BLi,[Li+].[B-]1C=C1,43.8,1,0,0.0,4,29.0,-2.7776596489000003,-2.7585948009,-2.7776596489000003,-2.7681272249,0.0190648480000006,train
11768494,CH2ClLi,[Li+].[CH2-]Cl,56.4,1,0,0.0,3,4.8,-2.5603821642000004,-2.5599067835,-2.5603821642000004,-2.5601444738500003,0.0004753807000006,train
58604523,C2H6NRb,C[CH-]N.[Rb+],129.54,2,1,26.0,4,6.0,-3.1476333473,-2.3113516676,-3.1476333473,-2.72949250745,0.8362816796999999,test
14487815,C3H3Li,[Li+].[CH2-]C#C,46.0,1,0,0.0,4,29.8,-2.9146624863,-2.9180308983,-2.9180308983,-2.9163466923,0.0033684119999994,train
161449774,HN2NaO,[NH-]N=O.[Na+],68.011,3,1,30.4,4,13.5,-2.7109595580000003,-2.7093813311000003,-2.7109595580000003,-2.71017044455,0.0015782268999999,test
58040490,H3KN2O,N[N-]O.[K+],86.135,3,2,47.3,4,6.0,-2.8441341898,-2.8450319013,-2.8450319013,-2.8445830455500003,0.0008977114999999,train
160703337,BH4KO,[BH3-]O.[K+],69.94,2,1,20.2,3,4.8,-2.7701742391,-2.7694252047,-2.7701742391,-2.7697997219,0.0007490344,train
22218824,C2H3NaO,C[C-]=O.[Na+],66.03,2,0,17.1,4,13.5,-2.889451881,-2.8866013534,-2.889451881,-2.8880266172,0.0028505275999997,train
101059734,CH2KO-,[CH2][O-].[K],69.124,1,0,23.1,3,2.0,-2.6475100703,-2.6424270998,-2.6475100703,-2.64496858505,0.0050829704999997,train
134992350,C2H5BLi,[Li+].[B-]CC,46.8,1,0,0.0,4,6.0,-3.0074768978,-3.0037770987,-3.0074768978,-3.00562699825,0.0036997990999996,train
154169190,KNO,[N-]=O.[K+],69.105,2,0,18.1,3,4.8,-2.4479008633,-2.4453711016,-2.4479008633,-2.44663598245,0.0025297616999999,test
20776120,CHBNNa,[B]N=[CH-].[Na+],60.83,2,0,12.4,4,15.5,-2.6876204337000003,-2.6883163325,-2.6883163325,-2.6879683831000003,0.0006958987999996,train
