Formula,CID,Type,Energy
I46Pb16Cs16O1C2H5,162403047,8H,-303.38850118
I46Pb16Cs16C2B1H8,160055680,8H,-326.95409662
I46Pb16Cs16F1N1B1,58114169,8H,-254.10230402
I46Pb16Cs16N1C2H1,101754802,8H,-274.92861208
I46Pb16Cs16N1C2H2,162445248,AB,-284.08958215
I46Pb16Cs16Br2Cl1,23686678,8H,-234.30704726
I46Pb16Cs16Br1O1C1H2,168867702,AB,-267.95245417
I46Pb16Cs16C3H5,11126171,AB,-307.41801783
I46Pb16Cs16N2B1,59940102,AB,-259.25004635
I46Pb16Cs16C3H5,11126171,8H,-305.83941054
I46Pb16Cs16N2C1H3,129646904,AB,-292.09990059
I46Pb16Cs16Br1Cl1C1H1,11815407,8H,-250.9724597
I46Pb16Cs16O1C1B1H3,23718351,8H,-283.72432987
I46Pb16Cs16O2N1H2,158529849,8H,-274.11663819
I46Pb16Cs16F1O1C1H2,140440825,AB,-275.60247393
I46Pb16Cs16Cl1C2H2,135046281,AB,-273.02012468
I46Pb16Cs16C2H3,18974580,8H,-274.82894934
I46Pb16Cs16O1N1C1H2,129668209,8H,-282.95868743
I46Pb16Cs16N1C2H2,10920438,AB,-286.00393764
I46Pb16Cs16O2H1,21526826,AB,-250.34810673
I46Pb16Cs16C3H3,12585694,8H,-291.82831624
I46Pb16Cs16F1C2H2,71417853,8H,-276.48102194
I46Pb16Cs16O1N1B1H1,172165965,AB,-265.21646261
I46Pb16Cs16N2H3,11789120,AB,-273.36821379
I46Pb16Cs16O1C2H3,129836041,AB,-286.19543535
I46Pb16Cs16O1C1B1H6,135048829,8H,-308.41825519
I1Pb16Cs16N1C1H3,58529206,AB,-280.55078261
I46Pb16Cs16O4,23676566,AB,-240.80800944
I46Pb16Cs16N1C2H4,12368256,8H,-298.75292862
I46Pb16Cs16O1C2H5,23661847,AB,-306.48618971
I46Pb16Cs16O1N1C1,11051568,AB,-269.35241393
I46Pb16Cs16N1B1H5,139116698,AB,-286.79005033
I46Pb16Cs16O1B1H1,23717161,AB,-251.75764272
I46Pb16Cs16Br1O1C1H2,23670955,8H,-271.25137335
I46Pb16Cs16O1C2H3,101843487,AB,-291.21391126
I46Pb16Cs16F2N1,59815174,AB,-246.28399063
I46Pb16Cs16C3H1,162454502,8H,-271.51571498
I46Pb16Cs16N2C1H4,101021057,8H,-299.05716332
I1Pb16Cs16Cl2,129740401,8H,-234.97508823
I1Pb16Cs16F1C1H3,58841526,8H,-273.15581865
I46Pb16Cs16Br6,158491745,AB,-233.54953428
I46Pb16Cs16O1N1C1H2,58619450,AB,-279.84199475
I46Pb16Cs16O2N1H2,140647104,8H,-273.9491675
I46Pb16Cs16O1N1H2,20223730,8H,-262.03764859
I46Pb16Cs16O1N1H2,23688916,8H,-262.40543587
I46Pb16Cs16N1C2H2,101615927,8H,-285.97504221
I46Pb16Cs16O2C1H3,142418848,8H,-287.6939528
I46Pb16Cs16F1O1,22967321,AB,-236.45310413
I46Pb16Cs16F1B1,153488305,AB,-239.10616649
I46Pb16Cs16Cl1O1,23665760,AB,-235.98609439
I2Pb16Cs16B1,20829522,AB,-237.70663844
I46Pb16Cs16N1B1H2,139260950,AB,-261.45029091
I46Pb16Cs16O1C1B1,23517219,AB,-258.92824905
I46Pb16Cs16N1C2H6,23696324,AB,-314.67530459
I46Pb16Cs16N1C2H6,140659928,8H,-315.19759662
I46Pb16Cs16O1N1C1H4,145797293,8H,-297.69740319
I46Pb16Cs16N1B1H1,162457270,8H,-255.73822812
I46Pb16Cs16Cl1O1,23665760,8H,-236.04721014
I46Pb16Cs16Br1C2H4,22606574,8H,-287.40248374
